2020-04-06 01:02:39: 0 | 30-90
2020-04-06 01:11:21: 0 | 30-90
2020-04-06 01:18:21: 0 | 30-90
2020-04-06 01:18:39: 0 | 30-90
2020-04-06 01:26:21: 0 | 30-90
2020-04-06 01:37:47: 0 | 30-90
2020-04-06 02:18:47: 0 | 30-60
2020-04-06 02:59:49: 0 | 15-45
2020-04-06 03:01:20: 0 | 15-45
2020-04-06 03:02:53: 0 | 15-45
2020-04-06 03:04:20: 0 | 15-45
2020-04-06 03:05:52: 0 | 15-45
2020-04-06 03:07:24: 0 | 15-45
2020-04-06 03:08:57: 0 | 15-45
2020-04-06 03:10:28: 0 | 15-45
2020-04-06 03:11:33: 0 | 15-45
2020-04-06 03:13:06: 0 | 15-45
2020-04-06 03:14:37: 0 | 15-45
2020-04-06 03:16:13: 0 | 15-45
2020-04-06 03:17:43: 0 | 15-45
2020-04-06 03:19:15: 0 | 15-45
2020-04-06 03:20:43: 0 | 15-45
2020-04-06 03:22:14: 0 | 15-45
2020-04-06 03:23:45: 0 | 15-45
2020-04-06 03:25:21: 0 | 15-45
2020-04-06 03:26:59: 0 | 15-45
2020-04-06 03:28:35: 0 | 15-45
2020-04-06 03:30:14: 0 | 15-45
2020-04-06 03:31:56: 0 | 15-45
2020-04-06 03:33:32: 0 | 15-45
2020-04-06 03:35:10: 0 | 15-45
2020-04-06 03:36:42: 0 | 15-45
2020-04-06 03:38:21: 0 | 15-45
2020-04-06 03:39:27: 0 | 15-45
2020-04-06 03:41:15: 0 | 15-45
2020-04-06 03:42:52: 0 | 15-45
2020-04-06 03:44:42: 0 | 15-45
2020-04-06 03:46:29: 0 | 15-45
2020-04-06 03:48:09: 0 | 15-45
2020-04-06 03:49:43: 0 | 15-45
2020-04-06 03:51:26: 0 | 15-45
2020-04-06 03:53:03: 0 | 15-45
2020-04-06 03:54:35: 0 | 15-45
2020-04-06 03:56:11: 0 | 15-45
2020-04-06 03:57:38: 0 | 15-45
2020-04-06 03:59:01: 0 | 15-45
2020-04-06 04:00:25: 0 | 15-45
2020-04-06 04:01:51: 0 | 15-45
2020-04-06 04:03:34: 0 | 15-45
2020-04-06 04:05:18: 0 | 15-45
2020-04-06 04:07:00: 0 | 15-45
2020-04-06 04:08:39: 0 | 15-45
2020-04-06 04:10:23: 0 | 15-45
2020-04-06 04:12:05: 0 | 15-45
2020-04-06 04:13:35: 0 | 15-45
2020-04-06 04:15:19: 0 | 15-45
2020-04-06 04:17:01: 0 | 15-45
2020-04-06 04:18:23: 0 | 15-45
2020-04-06 04:19:47: 0 | 15-45
2020-04-06 04:21:14: 0 | 15-45
2020-04-06 04:22:36: 0 | 15-45
2020-04-06 04:24:08: 0 | 15-45
2020-04-06 04:25:45: 0 | 15-45
2020-04-06 04:27:18: 0 | 15-45
2020-04-06 04:29:30: 0 | 15-45
2020-04-06 04:31:18: 0 | 15-45
2020-04-06 04:32:50: 0 | 15-45
2020-04-06 04:34:14: 0 | 15-45
2020-04-06 04:35:33: 0 | 15-45
2020-04-06 04:36:57: 0 | 15-45
2020-04-06 04:38:31: 0 | 15-45
2020-04-06 04:39:54: 0 | 15-45
2020-04-06 04:41:15: 0 | 15-45
2020-04-06 04:43:20: 0 | 15-45
2020-04-06 04:44:53: 0 | 15-45
2020-04-06 04:46:21: 0 | 15-45
2020-04-06 04:47:44: 0 | 15-45
2020-04-06 04:49:17: 0 | 15-45
2020-04-06 04:50:50: 0 | 15-45
2020-04-06 04:52:17: 0 | 15-45
2020-04-06 04:53:50: 0 | 15-45
2020-04-06 04:55:21: 0 | 15-45
2020-04-06 04:56:42: 0 | 15-45
2020-04-06 04:58:10: 0 | 15-45
2020-04-06 04:59:43: 0 | 15-45
2020-04-06 05:01:02: 0 | 15-45
2020-04-06 05:02:36: 0 | 15-45
2020-04-06 05:04:14: 0 | 15-45
2020-04-06 05:05:45: 0 | 15-45
2020-04-06 05:07:06: 0 | 15-45
2020-04-06 05:08:36: 0 | 15-45
2020-04-06 05:09:40: 0 | 15-45
2020-04-06 05:11:02: 0 | 15-45
2020-04-06 05:12:36: 0 | 15-45
2020-04-06 05:14:14: 0 | 15-45
2020-04-06 05:15:46: 0 | 15-45
2020-04-06 05:17:07: 0 | 15-45
